X[s],"R BICEPS BRACHII: EMG 5",X[s],"R TRICEPS BRACHII: EMG 6"
0.000000,0,0.000000,0
0.0007941176,0,0.0007941176,0
0.001588235,0,0.001588235,0
0.002382353,0,0.002382353,0
0.003176471,0,0.003176471,0
0.003970588,0,0.003970588,0
0.004764706,0,0.004764706,0
0.005558823,0,0.005558823,0
0.006352941,0,0.006352941,0
0.007147059,0,0.007147059,0
0.007941176,0,0.007941176,0
0.008735294,0,0.008735294,0
0.009529412,0,0.009529412,0
0.01032353,0,0.01032353,0
0.01111765,0,0.01111765,0
0.01191176,0,0.01191176,0
0.01270588,0,0.01270588,0
0.0135,0,0.0135,0
0.01429412,0,0.01429412,0
0.01508824,0,0.01508824,0
0.01588235,0,0.01588235,0
0.01667647,0,0.01667647,0
0.01747059,0,0.01747059,0
0.01826471,0,0.01826471,0
0.01905882,0,0.01905882,0
0.01985294,0,0.01985294,0
0.02064706,0,0.02064706,0
0.02144118,0,0.02144118,0
0.02223529,0,0.02223529,0
0.02302941,0,0.02302941,0
0.02382353,0,0.02382353,0
0.02461765,0,0.02461765,0
0.02541176,0,0.02541176,0
0.02620588,0,0.02620588,0
0.027,0,0.027,0
0.02779412,0,0.02779412,0
0.02858824,0,0.02858824,0
0.02938235,0,0.02938235,0
0.03017647,0,0.03017647,0
0.03097059,0,0.03097059,0
0.0317647,0,0.0317647,0
0.03255882,0,0.03255882,0
0.03335294,0,0.03335294,0
0.03414706,0,0.03414706,0
0.03494118,0,0.03494118,0
0.03573529,0,0.03573529,0
0.03652941,0,0.03652941,0
0.03732353,0,0.03732353,0
0.03811765,0,0.03811765,0
0.03891176,0,0.03891176,0
0.03970588,0,0.03970588,0
0.0405,0,0.0405,0
0.04129412,0,0.04129412,0
0.04208823,0,0.04208823,0
0.04288235,0,0.04288235,0
0.04367647,0,0.04367647,0
0.04447059,0,0.04447059,0
0.04526471,0,0.04526471,0
0.04605882,0,0.04605882,0
0.04685294,0,0.04685294,0
0.04764706,0,0.04764706,0
0.04844118,0,0.04844118,0
0.04923529,0,0.04923529,0
0.05002941,0,0.05002941,0
0.05082353,0,0.05082353,0
0.05161764,0,0.05161764,0
0.05241176,0,0.05241176,0
0.05320588,0,0.05320588,0
0.054,0,0.054,0
0.05479412,0,0.05479412,0
0.05558823,0,0.05558823,0
0.05638235,0,0.05638235,0
0.05717647,0,0.05717647,0
0.05797059,0,0.05797059,0
0.0587647,0,0.0587647,0
0.05955882,0,0.05955882,0
0.06035294,0,0.06035294,0
0.06114706,0,0.06114706,0
0.06194118,0,0.06194118,0
0.0627353,0,0.0627353,0
0.06352941,0,0.06352941,0
0.06432353,0,0.06432353,0
0.06511765,0,0.06511765,0
0.06591176,0,0.06591176,0
0.06670588,0,0.06670588,0
0.0675,0,0.0675,0
0.06829412,0,0.06829412,0
0.06908824,0,0.06908824,0
0.06988236,0,0.06988236,0
0.07067647,0,0.07067647,0
0.07147059,0,0.07147059,0
0.0722647,0,0.0722647,0
0.07305882,0,0.07305882,0
0.07385294,0,0.07385294,0
0.07464705,0,0.07464705,0
0.07544117,0,0.07544117,0
0.07623529,0,0.07623529,0
0.07702941,0,0.07702941,0
0.07782353,0,0.07782353,0
0.07861765,0,0.07861765,0
0.07941176,0,0.07941176,0
0.08020588,0,0.08020588,0
0.081,0,0.081,0
0.08179411,0,0.08179411,0
0.08258823,0,0.08258823,0
0.08338235,0,0.08338235,0
0.08417647,0,0.08417647,0
0.08497059,0,0.08497059,0
0.08576471,0,0.08576471,0
0.08655882,0,0.08655882,0
0.08735294,0,0.08735294,0
0.08814706,0,0.08814706,0
0.08894117,0,0.08894117,0
0.08973529,0,0.08973529,0
0.09052941,0,0.09052941,0
0.09132352,0,0.09132352,0
0.09211764,0,0.09211764,0
0.09291176,0,0.09291176,0
0.09370588,0,0.09370588,0
0.0945,1.258869E-05,0.0945,-1.930266E-05
0.09529412,2.21561E-05,0.09529412,1.762417E-05
0.09608823,2.1149E-05,0.09608823,5.925078E-05
0.09688235,1.02388E-05,0.09688235,9.298848E-05
0.09767647,-1.846342E-06,0.09767647,9.114214E-05
0.09847058,-8.224612E-06,0.09847058,8.308538E-05
0.0992647,-1.326009E-05,0.0992647,7.217517E-05
0.1000588,-1.577783E-05,0.1000588,5.723659E-05
0.1008529,-1.829557E-05,0.1008529,5.58938E-05
0.1016471,-2.349889E-05,0.1016471,7.637141E-05
0.1024412,-1.728847E-05,0.1024412,8.006408E-05
0.1032353,-1.326009E-05,0.1032353,6.210422E-06
0.1040294,-1.628138E-05,0.1040294,-0.0001092699
0.1048235,-1.359579E-05,0.1048235,-0.0002212253
0.1056176,-1.275654E-05,0.1056176,-0.0002683909
0.1064118,-7.888914E-06,0.1064118,-0.0002190433
0.1072059,-5.539025E-06,0.1072059,-0.000139147
0.108,-7.553216E-06,0.108,-6.865034E-05
0.1087941,-8.89601E-06,0.1087941,-5.035477E-06
0.1095882,-1.15816E-05,0.1095882,4.985122E-05
0.1103823,-1.493858E-05,0.1103823,6.327916E-05
0.1111765,-1.628138E-05,0.1111765,6.61326E-05
0.1119706,-1.728847E-05,0.1119706,8.845655E-05
0.1127647,-2.383459E-05,0.1127647,0.0001126268
0.1135588,-2.702373E-05,0.1135588,0.0001579461
0.1143529,-2.970932E-05,0.1143529,0.0002190433
0.1151471,-3.440909E-05,0.1151471,0.0002522774
0.1159412,-3.558404E-05,0.1159412,0.0002542916
0.1167353,-3.105211E-05,0.1167353,0.0002113222
0.1175294,-2.500954E-05,0.1175294,0.0001250477
0.1183235,-1.359579E-05,0.1183235,4.934768E-05
0.1191176,-1.141375E-05,0.1191176,-3.910887E-05
0.1199118,-8.728161E-06,0.1199118,-0.0001918517
0.1207059,-1.174945E-06,0.1207059,-0.000381857
0.1215,3.692683E-06,0.1215,-0.0004607462
0.1222941,4.699779E-06,0.1222941,-0.0003447623
0.1230882,1.15816E-05,0.1230882,-0.0002646983
0.1238824,1.661708E-05,0.1238824,-0.0002485847
0.1246765,2.18204E-05,0.1246765,-0.0002438849
0.1254706,2.232395E-05,0.1254706,-0.0001641566
0.1262647,1.795987E-05,0.1262647,-4.615854E-05
0.1270588,1.05745E-05,0.1270588,1.695277E-05
0.1278529,-1.510643E-06,0.1278529,6.495765E-05
0.1286471,-1.09102E-05,0.1286471,0.0001183337
0.1294412,-1.443504E-05,0.1294412,0.0001646601
0.1302353,-1.963836E-05,0.1302353,0.0001831235
0.1310294,-2.500954E-05,0.1310294,0.000164828
0.1318235,-2.366674E-05,0.1318235,0.0001465324
0.1326177,-1.762417E-05,0.1326177,0.0001470359
0.1334118,-1.762417E-05,0.1334118,0.000131426
0.1342059,-2.366674E-05,0.1342059,0.0001260548
0.135,-2.232395E-05,0.135,9.634547E-05
0.1357941,-1.913481E-05,0.1357941,5.790799E-05
0.1365882,-1.829557E-05,0.1365882,1.795987E-05
0.1373824,-1.376364E-05,0.1373824,-3.860533E-06
0.1381765,-1.05745E-05,0.1381765,6.210422E-06
0.1389706,-7.888914E-06,0.1389706,7.335011E-05
0.1397647,-3.860533E-06,0.1397647,7.335011E-05
0.1405588,-5.539025E-06,0.1405588,1.460288E-05
0.1413529,-7.888914E-06,0.1413529,-1.510643E-05
0.1421471,-1.12459E-05,0.1421471,-5.874724E-05
0.1429412,-1.107805E-05,0.1429412,-0.0001220264
0.1437353,-6.54612E-06,0.1437353,-0.0002123293
0.1445294,6.713969E-07,0.1445294,-0.0001861448
0.1453235,6.54612E-06,0.1453235,-0.0001488823
0.1461176,9.063859E-06,0.1461176,-0.0001270619
0.1469118,8.560311E-06,0.1469118,-5.723659E-05
0.1477059,9.567407E-06,0.1477059,-2.685588E-06
0.1485,6.54612E-06,0.1485,1.359579E-05
0.1492941,-1.007095E-06,0.1492941,-3.524834E-06
0.1500882,-5.203327E-06,0.1500882,-2.769513E-05
0.1508823,-1.174945E-05,0.1508823,-3.474479E-05
0.1516765,-1.560998E-05,0.1516765,-9.567407E-06
0.1524706,-1.628138E-05,0.1524706,-4.531929E-06
0.1532647,-2.098116E-05,0.1532647,1.963836E-05
0.1540588,-2.551309E-05,0.1540588,7.469291E-05
0.1548529,-2.769513E-05,0.1548529,0.0001384756
0.1556471,-3.3402E-05,0.1556471,0.0001660029
0.1564412,-3.3402E-05,0.1564412,0.0001945373
0.1572353,-3.138781E-05,0.1572353,0.0001968872
0.1580294,-2.803082E-05,0.1580294,0.0001582818
0.1588235,-2.131685E-05,0.1588235,0.0001367971
0.1596176,-1.762417E-05,0.1596176,0.0001287404
0.1604118,-1.560998E-05,0.1604118,0.000121355
0.1612059,-1.292439E-05,0.1612059,0.0001099413
0.162,-1.09102E-05,0.162,8.174258E-05
0.1627941,-6.210422E-06,0.1627941,-6.210422E-06
0.1635882,-2.18204E-06,0.1635882,-0.0001022202
0.1643824,-2.18204E-06,0.1643824,-0.0002457313
0.1651765,1.174945E-06,0.1651765,-0.0003586938
0.1659706,4.028382E-06,0.1659706,-0.0004295262
0.1667647,2.517739E-06,0.1667647,-0.0004072023
0.1675588,-1.174945E-06,0.1675588,-0.0003321737
0.1683529,-7.553216E-06,0.1683529,-0.0002547952
0.1691471,-1.963836E-05,0.1691471,-6.730755E-05
0.1699412,-2.803082E-05,0.1699412,0.0001502251
0.1707353,-2.702373E-05,0.1707353,0.0002526131
0.1715294,-2.349889E-05,0.1715294,0.0003110246
0.1723235,-2.484169E-05,0.1723235,0.0004125734
0.1731176,-2.970932E-05,0.1731176,0.000519997
0.1739118,-3.038071E-05,0.1739118,0.0005681697
0.1747059,-2.198825E-05,0.1747059,0.0004273442
0.1755,-2.232395E-05,0.1755,0.0001431754
0.1762941,-1.477073E-05,0.1762941,-0.0001566033
0.1770882,2.517739E-06,0.1770882,-0.000346273
0.1778823,1.326009E-05,0.1778823,-0.0003855497
0.1786765,1.829557E-05,0.1786765,-0.0003637293
0.1794706,2.568093E-05,0.1794706,-0.0004775311
0.1802647,3.20592E-05,0.1802647,-0.0006641794
0.1810588,3.944457E-05,0.1810588,-0.0007182269
0.1818529,4.39765E-05,0.1818529,-0.0006207065
0.182647,4.313725E-05,0.182647,-0.0004113985
0.1834412,3.910887E-05,0.1834412,-0.0002603342
0.1842353,2.937362E-05,0.1842353,-0.0001106127
0.1850294,2.232395E-05,0.1850294,5.55581E-05
0.1858235,1.242084E-05,0.1858235,0.0001609674
0.1866176,8.392462E-07,0.1866176,0.0001925231
0.1874118,-1.359579E-05,0.1874118,0.0002046082
0.1882059,-2.685588E-05,0.1882059,0.000220386
0.189,-3.575189E-05,0.189,0.0002432136
0.1897941,-4.145876E-05,0.1897941,0.0002861829
0.1905882,-4.615854E-05,0.1905882,0.0003560082
0.1913823,-5.186542E-05,0.1913823,0.0004051881
0.1921765,-5.606165E-05,0.1921765,0.00044094
0.1929706,-4.985122E-05,0.1929706,0.00042533
0.1937647,-5.270466E-05,0.1937647,0.0003509728
0.1945588,-5.304036E-05,0.1945588,0.000261677
0.1953529,-4.515145E-05,0.1953529,0.0001821164
0.1961471,-3.709468E-05,0.1961471,7.100023E-05
0.1969412,-3.105211E-05,0.1969412,-0.0001044022
0.1977353,-1.728847E-05,0.1977353,-0.0002767834
0.1985294,1.460288E-05,0.1985294,-0.0003194171
0.1993235,4.246586E-05,0.1993235,-0.0003093462
0.2001176,4.129091E-05,0.2001176,-0.0004004883
0.2009118,3.541619E-05,0.2009118,-0.0004207981
0.2017059,2.635233E-05,0.2017059,-0.000341741
0.2025,2.030976E-05,0.2025,-0.0002388495
0.2032941,1.19173E-05,0.2032941,-0.0001478752
0.2040882,6.54612E-06,0.2040882,2.349889E-06
0.2048824,1.510643E-06,0.2048824,0.0001455253
0.2056765,-4.36408E-06,0.2056765,0.0002469062
0.2064706,-7.888914E-06,0.2064706,0.0002841688
0.2072647,-1.292439E-05,0.2072647,0.0002353246
0.2080588,-1.527428E-05,0.2080588,0.0001508965
0.2088529,-1.225299E-05,0.2088529,0.0001730526
0.2096471,-6.54612E-06,0.2096471,0.0002130007
0.2104412,-1.846342E-06,0.2104412,0.0001760739
0.2112353,3.021286E-06,0.2112353,5.891508E-05
0.2120294,-1.678492E-07,0.2120294,-4.39765E-05
0.2128235,-7.217518E-06,0.2128235,-0.0001361257
0.2136176,-5.203327E-06,0.2136176,-0.000153582
0.2144118,-9.903105E-06,0.2144118,-0.0001111162
0.2152059,-1.326009E-05,0.2152059,-4.263371E-05
0.216,-1.359579E-05,0.216,-3.944457E-05
0.2167941,-1.560998E-05,0.2167941,-7.67071E-05
0.2175882,-1.560998E-05,0.2175882,-7.603571E-05
0.2183823,-1.628138E-05,0.2183823,-8.89601E-06
0.2191765,-1.896696E-05,0.2191765,0.0001015488
0.2199706,-1.997406E-05,0.2199706,0.0001977264
0.2207647,-1.997406E-05,0.2207647,0.0002952468
0.2215588,-1.846342E-05,0.2215588,0.0003459373
0.2223529,-1.795987E-05,0.2223529,0.0003259632
0.223147,-1.594568E-05,0.223147,0.0001723812
0.2239412,-1.560998E-05,0.2239412,-4.850843E-05
0.2247353,-1.560998E-05,0.2247353,-0.0001515679
0.2255294,-1.644922E-05,0.2255294,-0.0001072557
0.2263235,-1.678492E-05,0.2263235,-9.91989E-05
0.2271176,-1.393149E-05,0.2271176,-0.0002317998
0.2279118,-1.359579E-05,0.2279118,-0.0004500038
0.2287059,-2.18204E-06,0.2287059,-0.0005604486
0.2295,1.426719E-05,0.2295,-0.0005168078
0.2302941,1.527428E-05,0.2302941,-0.0003716182
0.2310882,8.560311E-06,0.2310882,-0.0002317998
0.2318823,6.210422E-06,0.2318823,-0.0001413291
0.2326765,2.517739E-06,0.2326765,-7.066453E-05
0.2334706,8.392462E-07,0.2334706,-5.119402E-05
0.2342647,1.678492E-07,0.2342647,-3.172351E-05
0.2350588,2.014191E-06,0.2350588,9.903105E-06
0.2358529,2.685588E-06,0.2358529,2.652018E-05
0.2366471,-3.692683E-06,0.2366471,1.544213E-05
0.2374412,-1.15816E-05,0.2374412,2.551309E-05
0.2382353,-1.510643E-05,0.2382353,2.467384E-05
0.2390294,-2.198825E-05,0.2390294,9.567407E-06
0.2398235,-2.702373E-05,0.2398235,6.61326E-05
0.2406176,-3.30663E-05,0.2406176,0.0001728847
0.2414118,-3.440909E-05,0.2414118,0.0002912184
0.2422059,-4.045167E-05,0.2422059,0.0003388876
0.243,-4.196231E-05,0.243,0.0003731289
0.2437941,-3.071641E-05,0.2437941,0.0003669185
0.2445882,-1.963836E-05,0.2445882,0.0003031357
0.2453824,-1.12459E-05,0.2453824,0.0002213931
0.2461765,-1.19173E-05,0.2461765,5.690089E-05
0.2469706,-1.863127E-05,0.2469706,-0.0001801022
0.2477647,-1.560998E-05,0.2477647,-0.0003816892
0.2485588,-1.19173E-05,0.2485588,-0.0005045548
0.2493529,-6.378271E-06,0.2493529,-0.0004441291
0.250147,8.224612E-06,0.250147,-0.0002116579
0.2509412,2.786297E-05,0.2509412,8.560311E-06
0.2517353,3.508049E-05,0.2517353,0.0001205158
0.2525294,3.40734E-05,0.2525294,0.0001868162
0.2533235,3.323415E-05,0.2533235,0.0002633555
0.2541176,2.098116E-05,0.2541176,0.0003026322
0.2549118,7.217518E-06,0.2549118,0.00024271
0.2557059,1.846342E-06,0.2557059,0.0001337758
0.2565,-3.524834E-06,0.2565,3.40734E-05
0.2572941,-1.326009E-05,0.2572941,-5.723659E-05
0.2580882,-1.426719E-05,0.2580882,-0.000103563
0.2588823,-8.056763E-06,0.2588823,-9.315633E-05
0.2596765,-5.874723E-06,0.2596765,-8.409247E-05
0.2604706,-8.89601E-06,0.2604706,-0.0001304189
0.2612647,-7.888914E-06,0.2612647,-0.0002222324
0.2620588,-1.225299E-05,0.2620588,-0.0002072938
0.2628529,-2.030976E-05,0.2628529,-0.0001257191
0.263647,-2.299535E-05,0.263647,-8.82887E-05
0.2644412,-2.635233E-05,0.2644412,-5.841154E-05
0.2652353,-2.635233E-05,0.2652353,-3.30663E-05
0.2660294,-2.467384E-05,0.2660294,-1.594568E-05
0.2668235,-3.323415E-05,0.2668235,6.495765E-05
0.2676176,-4.548714E-05,0.2676176,0.0001849699
0.2684118,-4.884413E-05,0.2684118,0.0002829938
0.2692059,-4.380865E-05,0.2692059,0.000413077
0.27,-4.112306E-05,0.27,0.000490959
0.2707941,-3.642328E-05,0.2707941,0.0004993515
0.2715882,-3.038071E-05,0.2715882,0.0004745098
0.2723823,-2.584878E-05,0.2723823,0.00040972
0.2731765,-2.165255E-05,0.2731765,0.0002368353
0.2739706,-1.795987E-05,0.2739706,-8.207828E-05
0.2747647,-1.09102E-05,0.2747647,-0.0004604105
