X[s],R TRICEPS BRACHII: EMG 6,X[s],R TRICEPS BRACHII: EMG 6->filter (FilterSlidingRMS27)
0.2604706,8.90E-06,0.2604706,1.42E-05
0.2612647,1.38E-05,0.2612647,1.42E-05
0.2620588,1.33E-05,0.2620588,1.43E-05
0.2628529,1.02E-05,0.2628529,1.43E-05
0.263647,3.86E-06,0.263647,1.43E-05
0.2644412,-1.68E-07,0.2644412,1.43E-05
0.2652353,-3.19E-06,0.2652353,1.43E-05
0.2660294,-1.02E-05,0.2660294,1.43E-05
0.2668235,-1.09E-05,0.2668235,1.43E-05
0.2676176,-1.19E-05,0.2676176,1.43E-05
0.2684118,-9.57E-06,0.2684118,1.43E-05
0.2692059,-1.33E-05,0.2692059,1.44E-05
0.27,-1.29E-05,0.27,1.44E-05
0.2707941,-1.21E-05,0.2707941,1.44E-05
0.2715882,-7.22E-06,0.2715882,1.44E-05
0.2723823,-2.85E-06,0.2723823,1.44E-05
0.2731765,-5.04E-06,0.2731765,1.44E-05
0.2739706,-1.06E-05,0.2739706,1.44E-05
0.2747647,-6.04E-06,0.2747647,1.44E-05
0.2755588,5.04E-07,0.2755588,1.44E-05
0.2763529,-7.55E-06,0.2763529,1.44E-05
0.2771471,-2.25E-05,0.2771471,1.44E-05
0.2779412,-3.86E-05,0.2779412,1.45E-05
0.2787353,-4.58E-05,0.2787353,1.47E-05
0.2795294,-4.28E-05,0.2795294,1.49E-05
0.2803235,-3.74E-05,0.2803235,1.51E-05
0.2811176,-2.20E-05,0.2811176,1.52E-05
0.2819118,-1.33E-05,0.2819118,1.53E-05
0.2827059,-1.19E-05,0.2827059,1.53E-05
0.2835,-7.89E-06,0.2835,1.53E-05
0.2842941,-6.88E-06,0.2842941,1.53E-05
0.2850882,-1.09E-05,0.2850882,1.53E-05
0.2858824,-5.20E-06,0.2858824,1.53E-05
0.2866765,3.19E-06,0.2866765,1.53E-05
0.2874706,-6.88E-06,0.2874706,1.53E-05
0.2882647,-9.90E-06,0.2882647,1.53E-05
0.2890588,-5.71E-06,0.2890588,1.54E-05
0.2898529,-2.85E-06,0.2898529,1.54E-05
0.2906471,2.01E-06,0.2906471,1.54E-05
0.2914412,3.69E-06,0.2914412,1.54E-05
0.2922353,-1.51E-06,0.2922353,1.54E-05
0.2930294,-8.39E-06,0.2930294,1.54E-05
0.2938235,-2.37E-05,0.2938235,1.54E-05
0.2946177,-1.73E-05,0.2946177,1.54E-05
0.2954118,5.04E-07,0.2954118,1.55E-05
0.2962059,3.52E-06,0.2962059,1.55E-05
0.297,8.39E-07,0.297,1.55E-05
0.2977941,3.36E-07,0.2977941,1.55E-05
0.2985882,4.53E-06,0.2985882,1.55E-05
0.2993824,4.20E-06,0.2993824,1.55E-05
0.3001765,-1.68E-07,0.3001765,1.55E-05
0.3009706,-8.39E-07,0.3009706,1.55E-05
0.3017647,1.17E-06,0.3017647,1.55E-05
0.3025588,1.85E-06,0.3025588,1.55E-05
0.3033529,4.53E-06,0.3033529,1.55E-05
0.3041471,1.68E-07,0.3041471,1.55E-05
0.3049412,-8.39E-07,0.3049412,1.55E-05
0.3057353,-3.36E-06,0.3057353,1.55E-05
0.3065294,1.51E-06,0.3065294,1.55E-05
0.3073235,6.88E-06,0.3073235,1.55E-05
0.3081176,6.88E-06,0.3081176,1.55E-05
0.3089118,6.71E-06,0.3089118,1.55E-05
0.3097059,-5.04E-07,0.3097059,1.55E-05
0.3105,-7.72E-06,0.3105,1.55E-05
0.3112941,-1.59E-05,0.3112941,1.55E-05
0.3120882,-1.31E-05,0.3120882,1.55E-05
0.3128823,-5.04E-06,0.3128823,1.55E-05
0.3136765,-4.53E-06,0.3136765,1.55E-05
0.3144706,-5.54E-06,0.3144706,1.55E-05
0.3152647,-3.69E-06,0.3152647,1.55E-05
0.3160588,-1.04E-05,0.3160588,1.55E-05
0.3168529,-1.09E-05,0.3168529,1.55E-05
0.317647,-7.55E-06,0.317647,1.56E-05
0.3184412,-6.88E-06,0.3184412,1.56E-05
0.3192353,-1.51E-06,0.3192353,1.56E-05
0.3200294,8.39E-07,0.3200294,1.56E-05
0.3208235,-5.20E-06,0.3208235,1.56E-05
0.3216176,-6.55E-06,0.3216176,1.56E-05
0.3224117,-3.52E-06,0.3224117,1.56E-05
0.3232059,-6.88E-06,0.3232059,1.56E-05
0.324,-1.12E-05,0.324,1.56E-05
0.3247941,-1.04E-05,0.3247941,1.56E-05
0.3255882,-1.29E-05,0.3255882,1.56E-05
0.3263823,-9.90E-06,0.3263823,1.56E-05
0.3271765,2.52E-06,0.3271765,1.56E-05
0.3279706,9.90E-06,0.3279706,1.56E-05
0.3287647,1.83E-05,0.3287647,1.56E-05
0.3295588,1.04E-05,0.3295588,1.57E-05
0.3303529,-2.03E-05,0.3303529,1.57E-05
0.331147,-2.32E-05,0.331147,1.57E-05
0.3319412,2.85E-06,0.3319412,1.58E-05
0.3327353,8.56E-06,0.3327353,1.58E-05
0.3335294,-5.87E-06,0.3335294,1.58E-05
0.3343235,-2.47E-05,0.3343235,1.58E-05
0.3351176,-3.39E-05,0.3351176,1.59E-05
0.3359118,-3.74E-05,0.3359118,1.60E-05
0.3367059,-3.69E-05,0.3367059,1.61E-05
0.3375,-3.11E-05,0.3375,1.62E-05
0.3382941,-3.24E-05,0.3382941,1.63E-05
0.3390882,-2.70E-05,0.3390882,1.64E-05
0.3398823,-1.53E-05,0.3398823,1.65E-05
0.3406765,-7.72E-06,0.3406765,1.65E-05
0.3414706,-1.51E-06,0.3414706,1.65E-05
0.3422647,1.51E-06,0.3422647,1.65E-05
0.3430588,-4.53E-06,0.3430588,1.65E-05
0.3438529,-1.61E-05,0.3438529,1.65E-05
0.344647,-1.86E-05,0.344647,1.66E-05
0.3454412,-4.53E-06,0.3454412,1.66E-05
0.3462353,1.17E-06,0.3462353,1.66E-05
0.3470294,-3.52E-06,0.3470294,1.66E-05
0.3478235,-8.90E-06,0.3478235,1.66E-05
0.3486176,-5.54E-06,0.3486176,1.66E-05
0.3494118,-1.23E-05,0.3494118,1.66E-05
0.3502059,-1.86E-05,0.3502059,1.66E-05
0.351,-2.17E-05,0.351,1.66E-05
0.3517941,-2.38E-05,0.3517941,1.66E-05
0.3525882,-1.76E-05,0.3525882,1.66E-05
0.3533823,-1.09E-05,0.3533823,1.66E-05
0.3541765,-8.22E-06,0.3541765,1.66E-05
0.3549706,1.17E-06,0.3549706,1.66E-05
0.3557647,1.01E-05,0.3557647,1.66E-05
0.3565588,8.56E-06,0.3565588,1.66E-05
0.3573529,7.89E-06,0.3573529,1.66E-05
0.3581471,1.59E-05,0.3581471,1.66E-05
0.3589412,1.56E-05,0.3589412,1.66E-05
0.3597353,1.85E-06,0.3597353,1.67E-05
0.3605294,-3.19E-06,0.3605294,1.66E-05
0.3613235,-4.36E-06,0.3613235,1.66E-05
0.3621176,-4.70E-06,0.3621176,1.66E-05
0.3629118,-3.69E-06,0.3629118,1.66E-05
0.3637059,1.17E-06,0.3637059,1.65E-05
0.3645,3.52E-06,0.3645,1.65E-05
0.3652941,-5.87E-06,0.3652941,1.65E-05
0.3660882,-1.41E-05,0.3660882,1.64E-05
0.3668824,-1.59E-05,0.3668824,1.65E-05
0.3676765,-1.54E-05,0.3676765,1.65E-05
0.3684706,-1.23E-05,0.3684706,1.65E-05
0.3692647,-7.55E-06,0.3692647,1.65E-05
0.3700588,-1.17E-06,0.3700588,1.65E-05
0.3708529,1.85E-06,0.3708529,1.65E-05
0.3716471,-8.90E-06,0.3716471,1.65E-05
0.3724412,-2.03E-05,0.3724412,1.65E-05
0.3732353,-2.17E-05,0.3732353,1.65E-05
0.3740294,-3.37E-05,0.3740294,1.66E-05
0.3748235,-3.46E-05,0.3748235,1.67E-05
0.3756177,-2.40E-05,0.3756177,1.68E-05
0.3764118,-2.13E-05,0.3764118,1.68E-05
0.3772059,-2.32E-05,0.3772059,1.68E-05
0.378,-1.83E-05,0.378,1.69E-05
0.3787941,-1.31E-05,0.3787941,1.69E-05
