X[s],"R BICEPS BRACHII: EMG 5",X[s],"R TRICEPS BRACHII: EMG 6"
0.000000,0,0.000000,0
0.0007941176,0,0.0007941176,0
0.001588235,0,0.001588235,0
0.002382353,0,0.002382353,0
0.003176471,0,0.003176471,0
0.003970588,0,0.003970588,0
0.004764706,0,0.004764706,0
0.005558823,0,0.005558823,0
0.006352941,0,0.006352941,0
0.007147059,0,0.007147059,0
0.007941176,0,0.007941176,0
0.008735294,0,0.008735294,0
0.009529412,0,0.009529412,0
0.01032353,0,0.01032353,0
0.01111765,0,0.01111765,0
0.01191176,0,0.01191176,0
0.01270588,0,0.01270588,0
0.0135,0,0.0135,0
0.01429412,0,0.01429412,0
0.01508824,0,0.01508824,0
0.01588235,0,0.01588235,0
0.01667647,0,0.01667647,0
0.01747059,0,0.01747059,0
0.01826471,0,0.01826471,0
0.01905882,0,0.01905882,0
0.01985294,0,0.01985294,0
0.02064706,0,0.02064706,0
0.02144118,0,0.02144118,0
0.02223529,0,0.02223529,0
0.02302941,0,0.02302941,0
0.02382353,0,0.02382353,0
0.02461765,0,0.02461765,0
0.02541176,0,0.02541176,0
0.02620588,0,0.02620588,0
0.027,0,0.027,0
0.02779412,0,0.02779412,0
0.02858824,0,0.02858824,0
0.02938235,0,0.02938235,0
0.03017647,0,0.03017647,0
0.03097059,0,0.03097059,0
0.0317647,0,0.0317647,0
0.03255882,0,0.03255882,0
0.03335294,0,0.03335294,0
0.03414706,0,0.03414706,0
0.03494118,0,0.03494118,0
0.03573529,0,0.03573529,0
0.03652941,0,0.03652941,0
0.03732353,0,0.03732353,0
0.03811765,0,0.03811765,0
0.03891176,0,0.03891176,0
0.03970588,0,0.03970588,0
0.0405,0,0.0405,0
0.04129412,0,0.04129412,0
0.04208823,0,0.04208823,0
0.04288235,0,0.04288235,0
0.04367647,0,0.04367647,0
0.04447059,0,0.04447059,0
0.04526471,0,0.04526471,0
0.04605882,0,0.04605882,0
0.04685294,0,0.04685294,0
0.04764706,0,0.04764706,0
0.04844118,0,0.04844118,0
0.04923529,0,0.04923529,0
0.05002941,0,0.05002941,0
0.05082353,0,0.05082353,0
0.05161764,0,0.05161764,0
0.05241176,0,0.05241176,0
0.05320588,0,0.05320588,0
0.054,0,0.054,0
0.05479412,0,0.05479412,0
0.05558823,0,0.05558823,0
0.05638235,0,0.05638235,0
0.05717647,0,0.05717647,0
0.05797059,0,0.05797059,0
0.0587647,0,0.0587647,0
0.05955882,0,0.05955882,0
0.06035294,0,0.06035294,0
0.06114706,0,0.06114706,0
0.06194118,0,0.06194118,0
0.0627353,0,0.0627353,0
0.06352941,0,0.06352941,0
0.06432353,0,0.06432353,0
0.06511765,0,0.06511765,0
0.06591176,0,0.06591176,0
0.06670588,0,0.06670588,0
0.0675,0,0.0675,0
0.06829412,0,0.06829412,0
0.06908824,0,0.06908824,0
0.06988236,0,0.06988236,0
0.07067647,0,0.07067647,0
0.07147059,0,0.07147059,0
0.0722647,0,0.0722647,0
0.07305882,0,0.07305882,0
0.07385294,0,0.07385294,0
0.07464705,0,0.07464705,0
0.07544117,0,0.07544117,0
0.07623529,0,0.07623529,0
0.07702941,0,0.07702941,0
0.07782353,0,0.07782353,0
0.07861765,0,0.07861765,0
0.07941176,0,0.07941176,0
0.08020588,0,0.08020588,0
0.081,0,0.081,0
0.08179411,0,0.08179411,0
0.08258823,0,0.08258823,0
0.08338235,0,0.08338235,0
0.08417647,0,0.08417647,0
0.08497059,0,0.08497059,0
0.08576471,0,0.08576471,0
0.08655882,0,0.08655882,0
0.08735294,0,0.08735294,0
0.08814706,0,0.08814706,0
0.08894117,0,0.08894117,0
0.08973529,0,0.08973529,0
0.09052941,0,0.09052941,0
0.09132352,0,0.09132352,0
0.09211764,0,0.09211764,0
0.09291176,0,0.09291176,0
0.09370588,0,0.09370588,0
0.0945,0,0.0945,0
0.09529412,0,0.09529412,0
0.09608823,0,0.09608823,0
0.09688235,0,0.09688235,0
0.09767647,0,0.09767647,0
0.09847058,0,0.09847058,0
0.0992647,0,0.0992647,0
0.1000588,0,0.1000588,0
0.1008529,0,0.1008529,0
0.1016471,0,0.1016471,0
0.1024412,0,0.1024412,0
0.1032353,0,0.1032353,0
0.1040294,0,0.1040294,0
0.1048235,0,0.1048235,0
0.1056176,0,0.1056176,0
0.1064118,0,0.1064118,0
0.1072059,0,0.1072059,0
0.108,0,0.108,0
0.1087941,0,0.1087941,0
0.1095882,0,0.1095882,0
0.1103823,0,0.1103823,0
0.1111765,0,0.1111765,0
0.1119706,0,0.1119706,0
0.1127647,0,0.1127647,0
0.1135588,0,0.1135588,0
0.1143529,0,0.1143529,0
0.1151471,0,0.1151471,0
0.1159412,0,0.1159412,0
0.1167353,0,0.1167353,0
0.1175294,0,0.1175294,0
0.1183235,0,0.1183235,0
0.1191176,0,0.1191176,0
0.1199118,0,0.1199118,0
0.1207059,0,0.1207059,0
0.1215,-2.903792E-05,0.1215,7.217518E-06
0.1222941,-2.400244E-05,0.1222941,6.54612E-06
0.1230882,-2.131685E-05,0.1230882,2.853437E-06
0.1238824,-2.232395E-05,0.1238824,-1.846342E-06
0.1246765,-2.702373E-05,0.1246765,-5.035477E-06
0.1254706,-2.853437E-05,0.1254706,-4.699779E-06
0.1262647,-2.719158E-05,0.1262647,-1.141375E-05
0.1270588,-2.165255E-05,0.1270588,-1.930266E-05
0.1278529,-1.225299E-05,0.1278529,-2.064546E-05
0.1286471,-4.531929E-06,0.1286471,-1.762417E-05
0.1294412,-5.035477E-07,0.1294412,-1.560998E-05
0.1302353,-1.007095E-06,0.1302353,-1.560998E-05
0.1310294,3.356985E-07,0.1310294,-1.695277E-05
0.1318235,8.392462E-07,0.1318235,-1.913481E-05
0.1326177,-6.210422E-06,0.1326177,-1.628138E-05
0.1334118,-9.063859E-06,0.1334118,-7.888914E-06
0.1342059,-1.09102E-05,0.1342059,-9.567407E-06
0.135,-1.292439E-05,0.135,-1.779202E-05
0.1357941,-1.309224E-05,0.1357941,-2.534523E-05
0.1365882,-6.042573E-06,0.1365882,-2.333104E-05
0.1373824,-3.860533E-06,0.1373824,-1.292439E-05
0.1381765,-9.567407E-06,0.1381765,-1.174945E-05
0.1389706,-9.567407E-06,0.1389706,-1.460288E-05
0.1397647,-9.567407E-06,0.1397647,-1.376364E-05
0.1405588,-4.867628E-06,0.1405588,-1.02388E-05
0.1413529,-3.189136E-06,0.1413529,-4.531929E-06
0.1421471,-9.063859E-06,0.1421471,-3.021286E-06
0.1429412,-1.359579E-05,0.1429412,-5.035477E-07
0.1437353,-1.762417E-05,0.1437353,3.356985E-07
0.1445294,-2.131685E-05,0.1445294,1.678492E-06
0.1453235,-2.24918E-05,0.1453235,3.692683E-06
0.1461176,-1.779202E-05,0.1461176,8.392462E-06
0.1469118,-1.359579E-05,0.1469118,1.309224E-05
0.1477059,-1.258869E-05,0.1477059,9.231709E-06
0.1485,-1.05745E-05,0.1485,8.392462E-06
0.1492941,-5.706874E-06,0.1492941,7.888914E-06
0.1500882,-1.846342E-06,0.1500882,3.021286E-06
0.1508823,-1.174945E-06,0.1508823,-1.846342E-06
0.1516765,-3.189136E-06,0.1516765,-5.874723E-06
0.1524706,-9.567407E-06,0.1524706,-8.056763E-06
0.1532647,-1.19173E-05,0.1532647,-1.174945E-05
0.1540588,-6.881819E-06,0.1540588,-1.409934E-05
0.1548529,-1.678492E-07,0.1548529,-1.829557E-05
0.1556471,3.189136E-06,0.1556471,-2.030976E-05
0.1564412,2.349889E-06,0.1564412,-2.198825E-05
0.1572353,3.860533E-06,0.1572353,-2.232395E-05
0.1580294,-4.531929E-06,0.1580294,-2.366674E-05
0.1588235,-1.695277E-05,0.1588235,-2.735943E-05
0.1596176,-2.24918E-05,0.1596176,-2.081331E-05
0.1604118,-2.769513E-05,0.1604118,-1.15816E-05
0.1612059,-3.138781E-05,0.1612059,-8.224612E-06
0.162,-3.508049E-05,0.162,-9.063859E-06
0.1627941,-3.27306E-05,0.1627941,-8.560311E-06
0.1635882,-3.23949E-05,0.1635882,-7.217518E-06
0.1643824,-3.054856E-05,0.1643824,-4.196231E-06
0.1651765,-2.735943E-05,0.1651765,-5.371176E-06
0.1659706,-2.383459E-05,0.1659706,-6.881819E-06
0.1667647,-2.030976E-05,0.1667647,-7.217518E-06
0.1675588,-1.896696E-05,0.1675588,-7.721065E-06
0.1683529,-1.460288E-05,0.1683529,-1.007095E-05
0.1691471,-1.376364E-05,0.1691471,-1.426719E-05
0.1699412,-1.359579E-05,0.1699412,-1.678492E-05
0.1707353,-1.225299E-05,0.1707353,-1.712062E-05
0.1715294,-9.063859E-06,0.1715294,-2.165255E-05
0.1723235,-9.903105E-06,0.1723235,-2.316319E-05
0.1731176,-4.699779E-06,0.1731176,-1.846342E-05
0.1739118,3.860533E-06,0.1739118,-1.15816E-05
0.1747059,1.12459E-05,0.1747059,-1.208515E-05
0.1755,1.493858E-05,0.1755,-5.539025E-06
0.1762941,1.19173E-05,0.1762941,2.349889E-06
0.1770882,4.531929E-06,0.1770882,1.678492E-06
0.1778823,4.196231E-06,0.1778823,-1.678492E-06
0.1786765,2.349889E-06,0.1786765,-4.867628E-06
0.1794706,-6.378271E-06,0.1794706,-3.021286E-06
0.1802647,-1.493858E-05,0.1802647,-1.846342E-06
0.1810588,-1.712062E-05,0.1810588,-4.36408E-06
0.1818529,-6.210422E-06,0.1818529,-4.196231E-06
0.182647,6.881819E-06,0.182647,-1.040665E-05
0.1834412,1.527428E-05,0.1834412,-1.02388E-05
0.1842353,2.064546E-05,0.1842353,-4.36408E-06
0.1850294,2.265965E-05,0.1850294,-1.174945E-06
0.1858235,2.450599E-05,0.1858235,6.713969E-07
0.1866176,2.400244E-05,0.1866176,-1.846342E-06
0.1874118,2.081331E-05,0.1874118,-2.517739E-06
0.1882059,1.527428E-05,0.1882059,-6.378271E-06
0.189,8.728161E-06,0.189,-7.553216E-06
0.1897941,4.196231E-06,0.1897941,-2.18204E-06
0.1905882,-1.678492E-07,0.1905882,-4.196231E-06
0.1913823,-7.049668E-06,0.1913823,-4.196231E-06
0.1921765,-1.342794E-05,0.1921765,-1.846342E-06
0.1929706,-1.460288E-05,0.1929706,7.888914E-06
0.1937647,-1.02388E-05,0.1937647,1.493858E-05
0.1945588,-1.292439E-05,0.1945588,1.393149E-05
0.1953529,-1.393149E-05,0.1953529,1.426719E-05
0.1961471,-1.05745E-05,0.1961471,1.594568E-05
0.1969412,-5.539025E-06,0.1969412,1.040665E-05
0.1977353,-2.853437E-06,0.1977353,3.860533E-06
0.1985294,4.36408E-06,0.1985294,5.874723E-06
0.1993235,7.888914E-06,0.1993235,1.846342E-06
0.2001176,3.524834E-06,0.2001176,-6.881819E-06
0.2009118,-1.678492E-06,0.2009118,-7.049668E-06
0.2017059,-4.028382E-06,0.2017059,-4.196231E-06
0.2025,-1.359579E-05,0.2025,-1.678492E-06
0.2032941,-1.947051E-05,0.2032941,-6.210422E-06
0.2040882,-2.18204E-05,0.2040882,-6.881819E-06
0.2048824,-2.534523E-05,0.2048824,-9.231709E-06
0.2056765,-3.038071E-05,0.2056765,-1.493858E-05
0.2064706,-2.568093E-05,0.2064706,-1.309224E-05
0.2072647,-1.527428E-05,0.2072647,-6.881819E-06
0.2080588,-1.795987E-05,0.2080588,-2.18204E-06
0.2088529,-1.947051E-05,0.2088529,1.846342E-06
0.2096471,-1.728847E-05,0.2096471,1.678492E-06
0.2104412,-1.829557E-05,0.2104412,3.189136E-06
0.2112353,-1.644922E-05,0.2112353,-3.524834E-06
0.2120294,-1.510643E-05,0.2120294,-3.692683E-06
0.2128235,-1.510643E-05,0.2128235,0
0.2136176,-1.292439E-05,0.2136176,-3.189136E-06
0.2144118,-8.728161E-06,0.2144118,-9.903105E-06
0.2152059,-5.035477E-06,0.2152059,-9.735256E-06
0.216,-2.18204E-06,0.216,-3.356985E-07
0.2167941,8.392462E-07,0.2167941,1.174945E-06
0.2175882,2.18204E-06,0.2175882,-3.524834E-06
0.2183823,-8.392462E-07,0.2183823,-1.292439E-05
0.2191765,-7.049668E-06,0.2191765,-1.812772E-05
0.2199706,-1.15816E-05,0.2199706,-1.896696E-05
0.2207647,-1.712062E-05,0.2207647,-1.795987E-05
0.2215588,-1.896696E-05,0.2215588,-2.383459E-05
0.2223529,-2.030976E-05,0.2223529,-2.299535E-05
0.223147,-1.762417E-05,0.223147,-1.359579E-05
0.2239412,-1.493858E-05,0.2239412,-3.860533E-06
0.2247353,-1.258869E-05,0.2247353,-6.54612E-06
0.2255294,-1.510643E-05,0.2255294,-1.292439E-05
0.2263235,-1.359579E-05,0.2263235,-1.225299E-05
0.2271176,-9.903105E-06,0.2271176,-9.063859E-06
0.2279118,-8.89601E-06,0.2279118,-8.224612E-06
0.2287059,-1.02388E-05,0.2287059,-1.510643E-05
0.2295,-1.359579E-05,0.2295,-2.098116E-05
0.2302941,-1.963836E-05,0.2302941,-2.853437E-05
0.2310882,-2.165255E-05,0.2310882,-2.970932E-05
0.2318823,-1.342794E-05,0.2318823,-2.030976E-05
0.2326765,-1.05745E-05,0.2326765,-1.695277E-05
0.2334706,-1.242084E-05,0.2334706,-1.426719E-05
0.2342647,-6.210422E-06,0.2342647,-1.02388E-05
0.2350588,-2.517739E-06,0.2350588,-6.54612E-06
0.2358529,5.035477E-07,0.2358529,-2.853437E-06
0.2366471,4.196231E-06,0.2366471,-1.174945E-06
0.2374412,2.18204E-06,0.2374412,-4.531929E-06
0.2382353,-2.014191E-06,0.2382353,-4.196231E-06
0.2390294,-3.524834E-06,0.2390294,-5.203327E-06
0.2398235,-8.392462E-07,0.2398235,-6.881819E-06
0.2406176,3.189136E-06,0.2406176,-2.232395E-05
0.2414118,1.174945E-06,0.2414118,-1.980621E-05
0.2422059,-4.36408E-06,0.2422059,-1.09102E-05
0.243,-1.493858E-05,0.243,-1.963836E-05
0.2437941,-2.601663E-05,0.2437941,-2.24918E-05
0.2445882,-2.232395E-05,0.2445882,-1.09102E-05
0.2453824,-1.19173E-05,0.2453824,-1.678492E-07
0.2461765,-6.881819E-06,0.2461765,-1.510643E-06
0.2469706,-8.89601E-06,0.2469706,-4.531929E-06
0.2477647,-9.903105E-06,0.2477647,-3.356985E-07
0.2485588,-4.196231E-06,0.2485588,5.874723E-06
0.2493529,-5.539025E-06,0.2493529,9.231709E-06
0.250147,-4.867628E-06,0.250147,4.867628E-06
0.2509412,-5.539025E-06,0.2509412,9.567407E-06
0.2517353,-8.224612E-06,0.2517353,1.611353E-05
0.2525294,-2.517739E-06,0.2525294,8.224612E-06
0.2533235,1.846342E-06,0.2533235,-1.678492E-07
0.2541176,-2.517739E-06,0.2541176,-4.531929E-06
0.2549118,-7.888914E-06,0.2549118,-3.356985E-07
0.2557059,-7.553216E-06,0.2557059,1.510643E-06
0.2565,-6.54612E-06,0.2565,1.678492E-06
0.2572941,-1.074235E-05,0.2572941,6.54612E-06
0.2580882,-9.567407E-06,0.2580882,1.12459E-05
0.2588823,-7.049668E-06,0.2588823,1.409934E-05
0.2596765,-7.888914E-06,0.2596765,8.89601E-06
0.2604706,-8.560311E-06,0.2604706,9.231709E-06
0.2612647,-8.224612E-06,0.2612647,6.042573E-06
0.2620588,-9.903105E-06,0.2620588,-1.678492E-06
0.2628529,-1.359579E-05,0.2628529,-4.699779E-06
0.263647,-1.326009E-05,0.263647,-8.224612E-06
0.2644412,-1.292439E-05,0.2644412,-2.349889E-06
0.2652353,-7.888914E-06,0.2652353,5.035477E-07
0.2660294,-4.531929E-06,0.2660294,-4.531929E-06
0.2668235,-1.09102E-05,0.2668235,-7.217518E-06
0.2676176,-1.779202E-05,0.2676176,-8.728161E-06
0.2684118,-1.863127E-05,0.2684118,-6.378271E-06
0.2692059,-1.393149E-05,0.2692059,-1.15816E-05
0.27,-1.560998E-05,0.27,-1.863127E-05
0.2707941,-1.628138E-05,0.2707941,-2.299535E-05
0.2715882,-1.695277E-05,0.2715882,-2.803082E-05
0.2723823,-2.030976E-05,0.2723823,-1.913481E-05
0.2731765,-1.493858E-05,0.2731765,-5.874723E-06
0.2739706,-6.54612E-06,0.2739706,-6.881819E-06
0.2747647,1.174945E-06,0.2747647,-2.517739E-05
0.2755588,-1.678492E-07,0.2755588,-1.292439E-05
0.2763529,1.846342E-06,0.2763529,5.539025E-06
0.2771471,-1.510643E-06,0.2771471,7.721065E-06
0.2779412,-4.36408E-06,0.2779412,3.189136E-06
0.2787353,-3.021286E-06,0.2787353,-1.678492E-07
0.2795294,-1.678492E-07,0.2795294,-1.007095E-06
0.2803235,-1.007095E-06,0.2803235,-1.040665E-05
